chunk_id,texto,tipo,pagina,fuente_pdf,referencia
10,"(cid:2) Contents List of Contributors vii Foreword to the First Edition xi Foreword to the Second Edition xvii Preface xix (cid:2) 1 Introduction 1 (cid:2) 2 Evaluation of Articles on Therapy 12 3 Evaluation of Articles on Diagnosis 38 .d e 4 Evaluation of Articles on Harm 58 vre se r sth 5 Evaluation of Articles on Prognosis 74 g ir llA 6 Evaluation of Systematic Reviews 87 .d e ta 7 Evaluation of Clinical Practice Guidelines 100 ro p ro cn 8 Evaluation of Articles on Health Screening 112 I ,sn o S 9 Literature Searches 122 & y",ventana,7,Painless Evidence-Based Medicine.pdf,"Dans AL et al. Painless Evidence-Based Medicine, 2017"
11,"ro cn 8 Evaluation of Articles on Health Screening 112 I ,sn o S 9 Literature Searches 122 & y e liW n h Index 139 o J .7 1 0 2 © th g iryp o C Painless Evidence-Based Medicine, edited by Antonio L. Dans, et al., John Wiley & Sons, Incorporated, 2017. ProQuest Ebook Central, http://ebookcentral.proquest.com/lib/bibliojaveriana-ebooks/detail.action?docID=4772289. Created from bibliojaveriana-ebooks on 2026-03-17 21:57:23. (cid:2)",ventana,7,Painless Evidence-Based Medicine.pdf,"Dans AL et al. Painless Evidence-Based Medicine, 2017"
12,"(cid:2) (cid:2) (cid:2) .d e vre se r sth g ir llA .d e ta ro p ro cn I ,sn o S & y e liW n h o J .7 1 0 2 © th g iryp o C Painless Evidence-Based Medicine, edited by Antonio L. Dans, et al., John Wiley & Sons, Incorporated, 2017. ProQuest Ebook Central, http://ebookcentral.proquest.com/lib/bibliojaveriana-ebooks/detail.action?docID=4772289. Created from bibliojaveriana-ebooks on 2026-03-17 21:57:23. (cid:2)",ventana,8,Painless Evidence-Based Medicine.pdf,"Dans AL et al. Painless Evidence-Based Medicine, 2017"
13,"(cid:2) List of Contributors MarcEvansAbat,MD CenterforAging TheMedicalCity Philippines JoseM.Acuin,MD,MSc,MBA (cid:2) (cid:2) Professor DepartmentofOtorhinolaryngology–HeadandNeckSurgery CollegeofMedicine DeLaSalleHealthSciencesInstitute .d e Philippines vre se r sth g ir llA MarissaM.Alejandria,MD,MSc .d e Professor ta ro p DepartmentofClinicalEpidemiology ro cn CollegeofMedicine I ,sn UniversityofthePhilippinesManila o S & Philippines y e liW n h o J .7 MarionM.Aw,MBBS,MMed(Paeds),FRCPCH(UK),FAMS 1 0 2 © AssociateProfessor th g DepartmentofPaediatrics iryp o YongLooLinSchoolofMedicine C NationalUniversityofSingapore Singapore Painless Evidence-Based Medicine, edited by Antonio L. Dans, et al., John Wiley & Sons, Incorporated, 2017. ProQuest Ebook Central, http://ebookcentral.proquest.com/lib/bibliojaveriana-ebooks/detail.action?docID=4772289. Created from bibliojaveriana-ebooks on 2026-03-18 12:13:07. (cid:2)",ventana,9,Painless Evidence-Based Medicine.pdf,"Dans AL et al. Painless Evidence-Based Medicine, 2017"
14,"Incorporated, 2017. ProQuest Ebook Central, http://ebookcentral.proquest.com/lib/bibliojaveriana-ebooks/detail.action?docID=4772289. Created from bibliojaveriana-ebooks on 2026-03-18 12:13:07. (cid:2)",ventana,9,Painless Evidence-Based Medicine.pdf,"Dans AL et al. Painless Evidence-Based Medicine, 2017"
15,"(cid:2) viii CynthiaP.Cordero,MScPH,MMedStat Professor DepartmentofClinicalEpidemiology CollegeofMedicine UniversityofthePhilippinesManila Philippines AntonioL.Dans,MD,MSc Professor DepartmentofInternalMedicine DepartmentofClinicalEpidemiology CollegeofMedicine UniversityofthePhilippinesManila Philippines LeonilaF.Dans,MD,MSc Professor (cid:2) DepartmentofPediatrics (cid:2) DepartmentofClinicalEpidemiology CollegeofMedicine UniversityofthePhilippinesManila .d Philippines e vre se r sth g IrwaniIbrahim,MD,MPH ir llA EmergencyMedicineDepartment .d e ta NationalUniversityHospital ro p ro Singapore cn I ,sn o S & SengGeeLim,MBBS,FRACP,FRCP,MD y e liW Professor n h o DirectorofHepatology J .7 1 DivisionofGastroenterologyandHepatology 0 2 © NationalUniversityHealthSystem th g iryp Singapore o C Painless Evidence-Based Medicine, edited by Antonio L. Dans, et al., John Wiley & Sons, Incorporated, 2017. ProQuest Ebook Central, http://ebookcentral.proquest.com/lib/bibliojaveriana-ebooks/detail.action?docID=4772289. Created from bibliojaveriana-ebooks on 2026-03-18 12:13:07. (cid:2)",ventana,10,Painless Evidence-Based Medicine.pdf,"Dans AL et al. Painless Evidence-Based Medicine, 2017"
16,"et al., John Wiley & Sons, Incorporated, 2017. ProQuest Ebook Central, http://ebookcentral.proquest.com/lib/bibliojaveriana-ebooks/detail.action?docID=4772289. Created from bibliojaveriana-ebooks on 2026-03-18 12:13:07. (cid:2)",ventana,10,Painless Evidence-Based Medicine.pdf,"Dans AL et al. Painless Evidence-Based Medicine, 2017"
17,"(cid:2) ix AldrinB.Loyola,MD,MBAH AssociateProfessor DepartmentofInternalMedicine CollegeofMedicine UniversityofthePhilippinesManila Philippines JacintoBlasV.MantaringIII,MD,MSc Professor DepartmentofPediatrics DepartmentofClinicalEpidemiology CollegeofMedicine UniversityofthePhilippinesManila Philippines ShirleyB.Ooi,MBBS(S’pore),FRCSEd(A&E),FAMS(EmergMed) AssociateProfessor EmergencyMedicineDepartment (cid:2) (cid:2) NationalUniversityHospital Singapore .d e LiaM.Palileo-Villanueva,MD,MSc vre se AssociateProfessor r sth CollegeofMedicine g ir llA UniversityofthePhilippinesManila .d e Philippines ta ro p ro cn I ,sn MariaAsuncionA.Silvestre,MD,FPSNbM o S AsiaPacificCenterforEvidence-BasedHealthcare & y e KalusuganngMag–Ina(HealthofMotherandChild),Inc. liW n Philippines h o J .7 1 0 2 © JoeyA.Tabula,MD th g iryp DepartmentofMedicine o C PhilippineGeneralHospital UniversityofthePhilippinesManila Philippines Painless Evidence-Based Medicine, edited by Antonio L. Dans, et al., John Wiley & Sons, Incorporated, 2017. ProQuest Ebook Central, http://ebookcentral.proquest.com/lib/bibliojaveriana-ebooks/detail.action?docID=4772289. Created from bibliojaveriana-ebooks on 2026-03-18 12:13:07.",ventana,11,Painless Evidence-Based Medicine.pdf,"Dans AL et al. Painless Evidence-Based Medicine, 2017"
18,"L. Dans, et al., John Wiley & Sons, Incorporated, 2017. ProQuest Ebook Central, http://ebookcentral.proquest.com/lib/bibliojaveriana-ebooks/detail.action?docID=4772289. Created from bibliojaveriana-ebooks on 2026-03-18 12:13:07. (cid:2)",ventana,11,Painless Evidence-Based Medicine.pdf,"Dans AL et al. Painless Evidence-Based Medicine, 2017"
19,"(cid:2) x NigelC.K.Tan,MBBS,FRCP(Edin),FAMS,MHPEd AssociateProfessor SeniorConsultantNeurologist NationalNeuroscienceInstitute Singapore MiriamRoxasTimonera,M.D. HeadofMedicalResearchUnit AdventistMedicalCenter,IliganCity Philippines BernadetteA.Tumanan-Mendoza,MD,MSc,MHE DepartmentofClinicalEpidemiology CollegeofMedicine UniversityofthePhilippinesManila Philippines (cid:2) (cid:2) ElenoreJudyB.Uy,MD,MSc AsiaPacificCenterforEvidence-BasedHealthcare Philippines .d e vre se MariaVanessaVillarruz-Sulit,BSN,RN,MSc r sth AsiaPacificCenterforEvidence-BasedHealthcare g ir llA Philippines .d e ta ro p ro cn I ,sn o S & y e liW n h o J .7 1 0 2 © th g iryp o C Painless Evidence-Based Medicine, edited by Antonio L. Dans, et al., John Wiley & Sons, Incorporated, 2017. ProQuest Ebook Central, http://ebookcentral.proquest.com/lib/bibliojaveriana-ebooks/detail.action?docID=4772289. Created from bibliojaveriana-ebooks on 2026-03-18 12:13:07. (cid:2)",ventana,12,Painless Evidence-Based Medicine.pdf,"Dans AL et al. Painless Evidence-Based Medicine, 2017"
20,"Central, http://ebookcentral.proquest.com/lib/bibliojaveriana-ebooks/detail.action?docID=4772289. Created from bibliojaveriana-ebooks on 2026-03-18 12:13:07. (cid:2)",ventana,12,Painless Evidence-Based Medicine.pdf,"Dans AL et al. Painless Evidence-Based Medicine, 2017"
21,"(cid:2) Foreword to the First Edition Noclinicianwouldconsiderenteringclinicalpracticewithoutknowingtherudi- mentsofhistory-takingandphysicalexamination.Norwouldcliniciansconsider independentpracticewithoutabasicunderstandingofhowthedrugstheypre- scribeactontheirpatients.Yet,traditionally,clinicianshavestartedpracticewith- outanabilitytounderstandevidenceabouthowtheyshouldinterpretwhatthey find on history and physical examination, or the magnitude of the effects they mightexpectwhentheyofferpatientsmedication. (cid:2) (cid:2) Evidence-based medicine (EBM) provides a remedy for this problem. The movement to teach clinicians to become effective users of medical literature began in the 1970s and evolved through the 1980s into a whole system for the deliveryofclinicalcare.Weneededanameforthisnewwayofpracticeandthe .d e term“evidence-basedmedicine,”whichfirstappearedinthemedicalliteraturein vre se 1991,[1]provedextremelypopular.Overthesubsequent16yearsevidence-based r sth medicine has evolved and now represents not only an approach to using the g ir llA medical literature effectively, but a principled guide for the process of clinical",ventana,13,Painless Evidence-Based Medicine.pdf,"Dans AL et al. Painless Evidence-Based Medicine, 2017"
22,"an approach to using the g ir llA medical literature effectively, but a principled guide for the process of clinical .d e decision-making. ta ro p Members of the general public are surprised, and often appalled, when they ro cn I ,sn o l a e r a t r ic n le th o a r t fu m ll o y st un p d h e y r s s ic ta ia n n d s t r h e e m r a e i s n ul u ts n r a e b",ventana,13,Painless Evidence-Based Medicine.pdf,"Dans AL et al. Painless Evidence-Based Medicine, 2017"
23,"t r h e e m r a e i s n ul u ts n r a e b p le or t t o ed cr t i h ti e c r a e l . ly Fo re r a t d he an ph o y r s i i g c i i n a a n l , r in es a e b a i r li c t h y S & y tocriticallyappraisearesearchstudyandgraspallthatisimpliedinitsfindings e liW limitstheirindependence.Theresultisrelianceonexpertopinion,thepracticesof n h o colleaguesandoninformationfromthepharmaceuticalindustry.Butwhatisone J .7 1 todoifexpertsandcolleaguesdisagree,orifoneismistrustfuloftheenthusiastic 0 2 © advicefromapharmaceuticalindustryrepresentative? th g",ventana,13,Painless Evidence-Based Medicine.pdf,"Dans AL et al. Painless Evidence-Based Medicine, 2017"
24,"& y tocriticallyappraisearesearchstudyandgraspallthatisimpliedinitsfindings e liW limitstheirindependence.Theresultisrelianceonexpertopinion,thepracticesof n h o colleaguesandoninformationfromthepharmaceuticalindustry.Butwhatisone J .7 1 todoifexpertsandcolleaguesdisagree,orifoneismistrustfuloftheenthusiastic 0 2 © advicefromapharmaceuticalindustryrepresentative? th g iryp Thisbookrepresentsthekeytoaworldthatprovidestheanswertothatques- o C tion,aworldthathastraditionallybeenclosedtomostpracticingphysicians:the worldoforiginalmedicalliterature.Openingthedoortothisworldisenormously Painless Evidence-Based Medicine, edited by Antonio L. Dans, et al., John Wiley & Sons, Incorporated, 2017. ProQuest Ebook Central, http://ebookcentral.proquest.com/lib/bibliojaveriana-ebooks/detail.action?docID=4772289. Created from bibliojaveriana-ebooks on 2026-03-18 02:45:52. (cid:2)",ventana,13,Painless Evidence-Based Medicine.pdf,"Dans AL et al. Painless Evidence-Based Medicine, 2017"
25,"(cid:2) xii empowering.Nolongermustonechoosewhattobelieveonthebasisofwhichrec- ommendationisbackedbythemostauthority,orspeakswiththeloudestvoice. The ability to differentiate high from low quality evidence and large treatment effectsfromsmallallowsclinicianstomakeindependentjudgmentsaboutwhat isbestfortheirpatients.Italsoallowsthemtoexplaintheimpactofalternatives to the patients themselves, and thus to ensure that choices are consistent with patients’underlyingvaluesandpreferences. Tenyearsago,expertsandtheofficialvoicesoftheorganizationstowhichthey belonged consistently recommended long-term hormone replacement therapy (HRT)forpost-menopausalwomen.Theserecommendationsweremadelargely on the basis of observational studies suggesting that women taking HRT could expectlargereductionstotheirriskofmajorcardiovascularevents.Proponents of evidence-based medicine raised concerns about the wisdom of this strong advocacy of therapy for huge populations on the basis of the fundamentally weak methods of observational studies. Their voices were largely ignored, until randomizedtrialsdemonstratedthattheresultsoftheobservationalstudieswere incorrect.IfHRThasanyimpactoncardiovasculardiseaseatall,itistoincrease itsfrequency. Many clinical communities now endorse widespread population screening (cid:2)",ventana,14,Painless Evidence-Based Medicine.pdf,"Dans AL et al. Painless Evidence-Based Medicine, 2017"
26,"observational studies. Their voices were largely ignored, until randomizedtrialsdemonstratedthattheresultsoftheobservationalstudieswere incorrect.IfHRThasanyimpactoncardiovasculardiseaseatall,itistoincrease itsfrequency. Many clinical communities now endorse widespread population screening (cid:2) (cid:2) to prevent the occurrence of cancer and cardiovascular disease. Breast cancer screeningforwomenasyoungas40years,coloncancerscreeningforentirepop- ulations,andtreatmenttoimprovelipidprofileseveninverylowriskpatientsare widelyadvocated.Manycliniciansareunawarethattoprolongasinglelife,hun- .d e dredsofindividualsmustbescreenedforbreastorcoloncancerortreatedwith vre se lipid profile-modifying agents for periods of up to a decade. The costs include r sth anxietyasaresultofthemanyfalsepositiveresults,complicationsofinvasivepro- g ir llA ceduressuchaslumpectomyorcolonoscopy,sideeffectsoftreatment(including .d e deathsasaresultofalipid-loweringagentnowwithdrawnfromthemarket),and ta ro p resourceinvestmentthat,atleastforsomeindividuals,mightbebetterallocated ro cn I ,sn o e th ls a e t w w h o e m re e . n Th c e on p s o i i d n e",ventana,14,Painless Evidence-Based Medicine.pdf,"Dans AL et al. Painless Evidence-Based Medicine, 2017"
27,"h o e m re e . n Th c e on p s o i i d n e t r i H sn R o T t , t n h o a r tt t h h e at e s x c p r e e r e t n s i w ng er o e r u t n re if a o t r m m e l n y t w o r f o lo n w g - in ris s k ug in g d es iv ti i",ventana,14,Painless Evidence-Based Medicine.pdf,"Dans AL et al. Painless Evidence-Based Medicine, 2017"
28,"r f o lo n w g - in ris s k ug in g d es iv ti i n d g - S & y ualstomodifytheircancerorcoronaryriskiswrong.Rather,itisthatclinicians e liW should be aware there are important trade-offs in these decisions. If clinicians n h o don’tknowthedifferencebetweenanobservationalstudyandarandomizedtrial, J .7 1 orbetweenarelativeriskreductionandariskdifference,theyareinnoposition 0 2 © tounderstandthesetrade-offs.Iftheyareunabletounderstandthetrade-offs,it th g iryp isnotpossibleforthemtoconveythepossiblebenefitsandriskstotheirpatients, o C manyofwhommay,withafullunderstanding,declinescreeningortreatment. This book provides the basic tools for the clinician to evaluate the strength of original studies, to understand their results and to apply those results in Painless Evidence-Based Medicine, edited by Antonio L. Dans, et al., John Wiley &",ventana,14,Painless Evidence-Based Medicine.pdf,"Dans AL et al. Painless Evidence-Based Medicine, 2017"
29,"results and to apply those results in Painless Evidence-Based Medicine, edited by Antonio L. Dans, et al., John Wiley & Sons, Incorporated, 2017. ProQuest Ebook Central, http://ebookcentral.proquest.com/lib/bibliojaveriana-ebooks/detail.action?docID=4772289. Created from bibliojaveriana-ebooks on 2026-03-18 02:45:52. (cid:2)",ventana,14,Painless Evidence-Based Medicine.pdf,"Dans AL et al. Painless Evidence-Based Medicine, 2017"
30,"(cid:2) xiii day-to-dayclinicalpractice.Iamdelightedtoinformthereaderthatitseditors are not only brilliant teachers who have created a wonderful introductory text, but wonderful human beings. I met Tony and Inday Dans just about the time that our McMaster group was realizing that what we had been calling “critical appraisal”hadevolvedintoasystematicapproachtomedicalpractice,asystem ofthinkingaboutclinicalcareandclinicaldecision-making. IndayandTonyhadcometoMcMastertotraininclinicalepidemiology–the science that underlies evidence-based medicine. I had the great pleasure of workingwithboththesebrilliant,enthusiastic,andcriticalyoungpeople.Iwas extremelyfortunatethatTonychosemeasoneofhissupervisors,andasaresult we had the opportunity to work particularly closely together. It was not long beforeIdiscoveredthatIhadtheprivilegeofinteractingwithanextraordinary individual, exceptional even among the lively, intelligent, dedicated students whopopulatedourMastersprogram.Tonywasfarmorequestioningthanmost students,andpossessedafardeeperandmoreintensesocialconscience.Tome, thesequalitieswereverystriking. SincetheirdaysatMcMaster,IndayandTonyhavecontinuedtodemonstrate their high intelligence, tremendous initiative, extraordinary ability to question andexploreissuesatthedeepestlevel,andtheirunusualandextremelyadmirable (cid:2) (cid:2) social conscience. Having",ventana,15,Painless Evidence-Based Medicine.pdf,"Dans AL et al. Painless Evidence-Based Medicine, 2017"
31,"students whopopulatedourMastersprogram.Tonywasfarmorequestioningthanmost students,andpossessedafardeeperandmoreintensesocialconscience.Tome, thesequalitieswereverystriking. SincetheirdaysatMcMaster,IndayandTonyhavecontinuedtodemonstrate their high intelligence, tremendous initiative, extraordinary ability to question andexploreissuesatthedeepestlevel,andtheirunusualandextremelyadmirable (cid:2) (cid:2) social conscience. Having a social conscience leads you to challenge existing powerstructuresandvestedinterests.Doingsorequiresmorethanconscience: it requires courage. I have had the good fortune and great pleasure to interact withIndayandTonyinavarietyofsettingsatquiteregularintervals,andhaveas .d e a result seen first-hand how their courage has led them to repeatedly challenge vre se authorityandpower,actingintheinterestsofthePhilippinepeople.Tousethe r sth adjective preferred by young Canadians nowadays, their performance has been g ir llA consistentlyawesome. .d e IwilladdonefinalanecdoteaboutwhatmakesTonyandIndaysospecial.Each ta ro p year,weconducta“howtoteachevidence-basedmedicine”workshopatMcMas- ro cn I ,sn o t t e h r e . r I o",ventana,15,Painless Evidence-Based Medicine.pdf,"Dans AL et al. Painless Evidence-Based Medicine, 2017"
32,"IwilladdonefinalanecdoteaboutwhatmakesTonyandIndaysospecial.Each ta ro p year,weconducta“howtoteachevidence-basedmedicine”workshopatMcMas- ro cn I ,sn o t t e h r e . r I o n le th o e f l t a u s t t or fe t w rai y n e e a e r s s . , A To lm ny os a t n a d ll I p n a d r a t y ici h p a a v n e ts p i a n rt t i h ci e p w at o e r d ks in ho t p",ventana,15,Painless Evidence-Based Medicine.pdf,"Dans AL et al. Painless Evidence-Based Medicine, 2017"
33,"a n rt t i h ci e p w at o e r d ks in ho t p he fe w el o t r h k e s y ho le p ar in n S & y a great deal, and take elements of what they have discovered back to their own e liW teachingsettings.Butveryfew,andextremelyfewamongtheveryexperienced, n h o make major innovations in their teaching as a result. Despite having run liter- J .7 1 ally dozens of extremely successful workshops in the Philippines prior to their 0 2 © participationintheMcMasterworkshop,IndayandTonytookthekeyelements th g iryp oftheMcMasterstrategyandrevampedtheirapproachtotheirownworkshops. o C",ventana,15,Painless Evidence-Based Medicine.pdf,"Dans AL et al. Painless Evidence-Based Medicine, 2017"
34,"of extremely successful workshops in the Philippines prior to their 0 2 © participationintheMcMasterworkshop,IndayandTonytookthekeyelements th g iryp oftheMcMasterstrategyandrevampedtheirapproachtotheirownworkshops. o C Theresulthasbeenaspectacularsuccess,withPhilippineparticipantsreporting profoundlypositiveeducationalexperiences.InthetwodecadesinwhichIhave participatedinourworkshop,I’veneverseenanyonemakeasgooduseoftheir Painless Evidence-Based Medicine, edited by Antonio L. Dans, et al., John Wiley & Sons, Incorporated, 2017. ProQuest Ebook Central, http://ebookcentral.proquest.com/lib/bibliojaveriana-ebooks/detail.action?docID=4772289. Created from bibliojaveriana-ebooks on 2026-03-18 02:45:52. (cid:2)",ventana,15,Painless Evidence-Based Medicine.pdf,"Dans AL et al. Painless Evidence-Based Medicine, 2017"
